temps,x_soleil,y_soleil,x_terre,y_terre,derive_E 
0.9509,0,0,0.9494973424239614,-0.33772817532630217,0.007397410220598409
0.9510,0,0,0.9497070823775822,-0.33713857878922104,0.007398175589060463
0.9511,0,0,0.9499164560910903,-0.336548851983629,0.007398940957071999
0.9512,0,0,0.950125463483823,-0.33595899513702965,0.007399706324633131
0.9513,0,0,0.9503341044752586,-0.3353690084769766,0.007400471691744775
0.9514,0,0,0.9505423789850167,-0.3347788922310732,0.00740123705840693
0.9515,0,0,0.9507502869328582,-0.3341886466269726,0.0074020024246197105
0.9516,0,0,0.9509578282386856,-0.3335982718923776,0.007402767790384489
0.9517,0,0,0.9511650028225422,-0.33300776825504047,0.00740353315570115
0.9518,0,0,0.9513718106046133,-0.332417135942763,0.00740429852056981
0.9519,0,0,0.9515782515052251,-0.33182637518339636,0.007405063884991266
0.9520,0,0,0.9517843254448457,-0.331235486204841,0.007405829248965749
0.9521,0,0,0.9519900323440843,-0.33064446923504653,0.007406594612493715
0.9522,0,0,0.9521953721236919,-0.3300533245020118,0.007407359975575737
0.9523,0,0,0.9524003447045608,-0.32946205223378455,0.007408125338212614
0.9524,0,0,0.9526049500077252,-0.32887065265846155,0.007408890700403889
0.9525,0,0,0.9528091879543605,-0.32827912600418835,0.007409656062150019
0.9526,0,0,0.9530130584657841,-0.32768747249915936,0.00741042142345192
0.9527,0,0,0.9532165614634548,-0.32709569237161756,0.007411186784310047
0.9528,0,0,0.9534196968689732,-0.3265037858498546,0.0074119521447242875
0.9529,0,0,0.9536224646040817,-0.3259117531622106,0.007412717504695669
0.9530,0,0,0.9538248645906644,-0.3253195945370741,0.007413482864224307
0.9531,0,0,0.954026896750747,-0.3247273102028819,0.007414248223310544
0.9532,0,0,0.9542285610064973,-0.3241349003881192,0.0074150135819548366
0.9533,0,0,0.9544298572802249,-0.3235423653213192,0.007415778940157871
0.9534,0,0,0.9546307854943811,-0.3229497052310632,0.007416544297919077
0.9535,0,0,0.9548313455715592,-0.32235692034598046,0.007417309655240054
0.9536,0,0,0.9550315374344945,-0.3217640108947482,0.007418075012120572
0.9537,0,0,0.9552313610060642,-0.3211709771060914,0.0074188403685614334
0.9538,0,0,0.9554308162092875,-0.32057781920878264,0.0074196057245621795
0.9539,0,0,0.9556299029673256,-0.31998453743164235,0.007420371080124412
0.9540,0,0,0.9558286212034819,-0.3193911320035383,0.007421136435247558
0.9541,0,0,0.9560269708412016,-0.31879760315338573,0.007421901789932532
0.9542,0,0,0.9562249518040722,-0.3182039511101474,0.007422667144179907
0.9543,0,0,0.9564225640158234,-0.31761017610283304,0.007423432497989568
0.9544,0,0,0.9566198074003269,-0.3170162783604999,0.007424197851361286
0.9545,0,0,0.9568166818815969,-0.3164222581122521,0.0074249632042974615
0.9546,0,0,0.9570131873837894,-0.31582811558724083,0.007425728556796952
0.9547,0,0,0.9572093238312029,-0.3152338510146642,0.007426493908859986
0.9548,0,0,0.9574050911482783,-0.3146394646237672,0.0074272592604883916
0.9549,0,0,0.9576004892595986,-0.3140449566438414,0.007428024611681142
0.9550,0,0,0.9577955180898894,-0.31345032730422523,0.007428789962439149
0.9551,0,0,0.9579901775640183,-0.3128555768343035,0.007429555312763101
0.9552,0,0,0.9581844676069955,-0.3122607054635076,0.007430320662653111
0.9553,0,0,0.9583783881439738,-0.3116657134213153,0.0074310860121090646
0.9554,0,0,0.9585719391002483,-0.31107060093725075,0.00743185136113222
0.9555,0,0,0.9587651204012565,-0.3104753682408841,0.007432616709722577
0.9556,0,0,0.9589579319725786,-0.3098800155618318,0.00743338205788025
0.9557,0,0,0.9591503737399373,-0.3092845431297563,0.00743414740560638
0.9558,0,0,0.9593424456291977,-0.3086889511743659,0.007434912752900628
0.9559,0,0,0.9595341475663677,-0.30809323992541493,0.007435678099763563
0.9560,0,0,0.9597254794775979,-0.30749740961270333,0.007436443446195642
0.9561,0,0,0.9599164412891813,-0.3069014604660768,0.00743720879219721
0.9562,0,0,0.9601070329275538,-0.30630539271542667,0.007437974137768722
0.9563,0,0,0.960297254319294,-0.3057092065906897,0.007438739482910866
0.9564,0,0,0.9604871053911233,-0.305112902321848,0.007439504827623525
0.9565,0,0,0.9606765860699055,-0.30451648013892924,0.007440270171907045
0.9566,0,0,0.9608656962826477,-0.3039199402720061,0.007441035515762567
0.9567,0,0,0.9610544359564996,-0.30332328295119654,0.007441800859189748
